name,kind,enc_dim,enc_heads,pooling,freeze_encoder,head_depth,head_hidden,encoder_lr,epochs,params,val_recon_loss,kl_overall,kl_fold_mean,kl_fold_std
exp5_finetune__frozen,supervised,256,8,cls,True,3,512,,20,5527254,0.568119193826403,1.2068,1.2068,0.0524
exp5_finetune__finetune_enc1e5,supervised,256,8,cls,False,3,512,1e-05,20,5527254,0.568119193826403,0.9192,0.9192,0.046
exp5_finetune__finetune_enc5e5,supervised,256,8,cls,False,3,512,5e-05,20,5527254,0.568119193826403,0.9547,0.9547,0.054
exp5_finetune__finetune_enc2e4,supervised,256,8,cls,False,3,512,0.0002,20,5527254,0.568119193826403,0.9875,0.9875,0.0513
